config_version,point_id,point_name,category,location,description,status,status_label,photo_count,has_notes,last_updated,notes_count,notes
v4,P001,高压配电室巡检,电气设备,1号厂房一层,日常巡检，设备运行正常,pending,待处理,0,否,2026-06-19 02:17:00,0,
v4,P002,消防栓检查,消防安全,1号厂房二层,压力正常,pending,待处理,0,否,2026-06-19 02:17:00,0,
v4,P003,电梯机房,特种设备,2号厂房顶层,季度巡检,pending,待处理,0,否,2026-06-19 02:17:00,0,
v4,P004,应急照明测试,消防安全,各楼层,月度测试,pending,待处理,0,否,2026-06-19 02:17:00,0,
v4,P005,水泵房检查,给排水,地下一层,运行状态良好,pending,待处理,0,否,2026-06-19 02:17:00,0,
v4,P006,发电机房,电气设备,地下一层,备用电源检查,pending,待处理,0,否,2026-06-19 02:17:00,0,
v4,P007,门禁系统检查,安保,主入口,读卡器正常,pending,待处理,0,否,2026-06-19 02:17:00,0,
v4,P008,监控摄像头,安保,各区域,画面清晰,pending,待处理,0,否,2026-06-19 02:17:00,0,
v4,P009,防雷接地检测,电气安全,屋面,接地电阻合格,pending,待处理,0,否,2026-06-19 02:17:00,0,
v4,P010,灭火器检查,消防安全,各楼层,有效期内,pending,待处理,0,否,2026-06-19 02:17:00,0,
